address,bed_num,name,phone,post_code
,,,,
兰州市东岗西路1号,,兰州大学第一医院,0931-8625200-6801;0931-8619797,730000
,,,,
,,,,
兰州市西固区福利路733号,,兰州大学附属天浩医院,0931-7555317,730030
,,,,
,,,,
兰州市城关区皋兰路46号,,兰州大学口腔医院,0931-8827262,730000
,,,,
,,,,
兰州市城关区盘旋路216号,,兰州大学医院,0931-8843000,730000
,,,,
,,,,
建兰路火星街1号,,兰州第一人民医院,0931-2867286;0931-2352721,730030
,,,,
,,,,
兰州市七里河区龚家坪66号,,兰州电机厂职工医院,0931-2866951(总),730050
,,,,
,,,,
甘肃省兰州市城关区平凉路81-87号,,兰州东立协和医院(民营),0931-8841307,730000
,,,,
,,,,
兰州市安宁区西路106号,,兰州飞控仪器厂职工医院,0931-7662019,730070
,,,,
,,,,
甘肃省兰州市城关区上徐家湾3号,,兰州肺科医院,0931-8321447,730046
,,,,
九龙坡区白新街19号,,九龙坡区白市驿市民医院,023-66232026,400029
,,,,
,,,,
重庆市九龙坡区中梁山半山二村6号,,九龙坡区第二人民医院,023-65265455,400052
,,,,
,,,,
九龙坡区石坪桥石坪村,,九龙坡区第二中医院,023-68824586,400050
,,,,
,,,,
重庆市九龙坡区杨家坪兴胜路2号,,九龙坡区第三人民医院,023-68651391,400050
,,,,
,,,,
九龙坡区冬笋街16号,,九龙坡区第四人民医院,023-66231614,400029
,,,,
,,,,
重庆市九龙坡区白市驿镇白新街19号,,九龙坡区第五人民医院,023-65702026,401329
,,,,
,,,,
重庆市九龙坡区杨家坪前进路23号,,九龙坡区第一人民医院,023-68429687,400050
,,,,
,,,,
九龙坡区李家沱马王坪正街,,九龙坡区第一中医院,023-68603989,400050
,,,,
,,,,
重庆市九龙坡区石坪桥石坪村新二幢,,九龙坡区妇幼保健院,023-68823629,400051
,,,,
,,,,
重庆市九龙坡区中梁山街149号,,九龙坡区精神病医院,023-65264425,400052
,,,,
,,,,
九龙坡区杨家坪前进路23号,,九龙坡区九龙坡区第一人民医院,023-68651391,400050
,,,,
,,,,
重庆市九龙坡区西彭镇,,九龙坡区中西医结合医院,023-65801617,401326
,,,,
,,,,
九龙坡区杨家坪,,九龙坡区中医骨科医院,023-68822531,400050
,,,,
,,,,
九龙坡区石坪桥冶金三村,,十八冶金建设公司职工医院,023-68822091,400050
,,,,
,,,,
重庆市九龙坡区杨家坪梅子榜,,西南车辆制造厂职工医院重庆渝西医院,023-68409346,400050
,,,,
长乐市金峰镇六林小学对面,,长乐金峰福康医院(民营),,350211
,,,,
,,,,
长乐市金峰镇解放路146号,,长乐市第二医院,0591-28672009,350211
,,,,
,,,,
长乐市西洋路14号,,长乐市妇幼保健院,0591-28922409,350200
,,,,
,,,,
长乐市,,长乐市精神病医院,0591-28922759,350200
,,,,
,,,,
福建省长乐市航城镇秀江村友谊路,,长乐市皮肤病防治院,0591-8938845,350200
,,,,
,,,,
长乐市十洋村建设路13号,,长乐市医院,0591-28801819,350200
,,,,
,,,,
长乐市建设路41号,,长乐市中医院,0591-28935118,350200
,,,,
,,,,
福清市,,福清市32822部队医院,0591-85222877,350300
,,,,
,,,,
福清市农田街23号,,福清市第二医院,0591-85771134,350315
,,,,
,,,,
东张居委会新村街66号,,福清市东张医院,0591-85391014,350305
,,,,
,,,,
福清市,,福清市妇幼保健院,0591-85261760,350300
,,,,
,,,,
福清市高山村安泰路6号,,福清市高山医院,0591-85881249;85880460,350319
,,,,
,,,,
福清市棋山村宏路街35号,,福清市红十字医院,0591-85380640,350301
,,,,
,,,,
福清市下梧村,,福清市皮肤病防治院,0591-85222925,350300
,,,,
,,,,
福清市南门外,,福清市融强医院,0591-5239287,350300
,,,,
乌鲁木齐市火车西站分局6号公路,,西山铁路医院,0991-4526412,830000
,,,,
,,,,
新疆木齐兰州军区总医院,,兰州军工乌鲁木齐总医院,0991-4992005;4842256(总机),830000
,,,,
,,,,
新疆乌鲁木齐市东山区厂前路,,乌鲁木齐石油化工总厂医院,0991-6901598,830019
,,,,
,,,,
乌鲁木齐市钱塘江路27号,,乌鲁木齐市长江骨髓炎医院,0991-5851342,830006
,,,,
,,,,
乌鲁木齐市团结路179号,,乌鲁木齐市瓷厂职工医院,0991-2872771,830019
,,,,
,,,,
乌鲁木齐市天山区碱泉街136号,,乌鲁木齐市第四人民医院,0991-2649272,830002
,,,,
,,,,
新疆乌鲁木齐市健康路91号,,乌鲁木齐市第一人民医院,0991-2333553,830002
,,,,
,,,,
乌市天山区健康路91号,,乌鲁木齐市第一人民医院(市儿童医院）,0991-2333594,830000
,,,,
,,,,
乌鲁木齐市天山区健康路91号,,乌鲁木齐市第一人民医院乌鲁木齐市儿童医院,0991-2333594,830000
,,,,
,,,,
乌鲁木齐市河北东路2号,,乌鲁木齐市渡州中医院,0991-6625168;6612175,830011
,,,,
,,,,
乌鲁木齐市小地窝堡,,乌鲁木齐市儿童福利院,0991-3968010,830016
,,,,
,,,,
乌鲁木齐市解放南路138号,,乌鲁木齐市妇幼保健院,0991-8554656,830001
,,,,
,,,,
新疆乌鲁木齐市新兴街l号,,乌鲁木齐市结核病防治所,0991-2644669,830002
,,,,
,,,,
乌鲁木齐市乌昌路10号,,乌鲁木齐市精神病福利院,0991-3972604,830016
,,,,
,,,,
乌鲁木齐市碱泉街136号,,乌鲁木齐市精神病院,0991-2617697,830002
,,,,
呼伦贝盟额尔古纳左旗,,额尔古纳左旗中医院,0470-5222738,022350
,,,,
,,,,
呼伦贝尔盟海拉尔区健康街,,海拉尔区传染病院,0470-8332096,021000
,,,,
,,,,
呼伦贝盟海拉尔区西交界街28号,,海拉尔区第二人民医院,0470-8334006,021000
,,,,
,,,,
呼伦贝盟海拉尔区医院街,,海拉尔区第一人民医院,0470-8334370,021000
,,,,
,,,,
海拉尔区,,海拉尔区妇幼保健站,0470-8333351,021000
,,,,
,,,,
呼伦贝尔盟海拉尔区西大街192号,,海拉尔区曙光医院,0470-8333003,021000
,,,,
,,,,
扎兰屯市石桥,,呼伦贝尔盟第二人民医院(结核医院),0470-3204971,0162650
,,,,
,,,,
呼伦贝尔盟,,呼伦贝尔盟妇幼保健站,0470-8222312,0162650
,,,,
,,,,
呼伦贝尔海拉尔胜利大街,,呼伦贝尔盟人民医院,0470-8254159、8222459,021008
,,,,
,,,,
新巴尔虎左旗,,新巴尔虎左旗妇幼保健站,0470-6602492,021200
,,,,
,,,,
牙克石市,,牙克石市林业中心医院,0470-7303297,022150
,,,,
,,,,
扎兰屯市,,扎兰屯市保健站,0470-3206104,026265
,,,,
,,,,
扎兰屯市秀水路52号院,,扎兰屯市第二三三医院,0470-3202833,0162650
,,,,
,,,,
扎兰屯市中央南路,,扎兰屯市第三医院,0470-3212505(门诊),0162650
,,,,
,,,,
呼市钢铁路大街,,呼市第三医院,0471-3958209(总机),010050
,,,,
浦东新区上南路南村137号,,浦东新家周家渡地段医院,021-58839267,200126
,,,,
,,,,
上海市浦东新区华夏东路3018弄46号,,浦东新区传染病医院,021-68680068,201200
,,,,
,,,,
上海市浦东新区即墨路150号,,浦东新区东方医院,021-38804518,200120
,,,,
,,,,
上海市浦东新区龚路镇北首庙后4号,,浦东新区肺科医院,021-58562146,201209
,,,,
,,,,
上海市浦东新区川沙镇南桥路381号,,浦东新区妇幼保健院,021-58982862,201200
,,,,
,,,,
上海市浦东新区苗圃路219号,,浦东新区公利医院,021-58858730,200135
,,,,
,,,,
龚路镇南首,,浦东新区龚路精神病康复院,021-68976671,201209
,,,,
,,,,
浦东新区莱阳路512号,,浦东新区沪东地段医院,021-58464269,200129
,,,,
,,,,
浦东新区玉兰路96号,,浦东新区花木地段医院,021-58448654,201204
,,,,
,,,,
上海市浦东新区源深路622号,,浦东新区精神卫生中心,021-58318875,200122
,,,,
,,,,
浦东新区商城路887号,,浦东新区崂山西路地段医院,021-58880728,200120
,,,,
,,,,
浦东新区浦三路696号,,浦东新区六里地段医院,021-50778227,200125
,,,,
,,,,
浦东新区乳山路235弄1号,,浦东新区梅园地段医院,021-58303066,200120
,,,,
,,,,
上海市浦东新区浦东南路2400号,,浦东新区浦南医院,021-58892700,200125
,,,,
,,,,
上海市浦东新区川沙镇川环南路490号,,浦东新区人民医院,021-58981990,201200
,,,,
安义县鼎湖镇联愈路91号,,安义县不育症专科医院,0791-3380054,330500
,,,,
,,,,
安义县龙津镇,,安义县妇幼保健所,0791-3421145,330500
,,,,
,,,,
江西省南昌市安义县文峰路59号,,安义县人民医院,0791-3424788,330500
,,,,
,,,,
安义县文峰路59号,,安义县医院,0791-3424788,330500
,,,,
,,,,
安义县龙津镇,,安义县中医院,0791-3422517,330500
,,,,
,,,,
进贤县民安路30号,,进贤县妇幼保健所,0791-5677575,331700
,,,,
,,,,
江西省南昌市进贤县民和镇南门路18号,,进贤县康复医院,0791-5665349,331700
,,,,
,,,,
进贤县民安路59号,,进贤县人民医院,0791-5663186,331700
,,,,
,,,,
进贤县云桥,,进贤县中医院,0791-5663865,331700
,,,,
,,,,
南昌市民德路1号,,南昌大学第二附属医院,0791-6297662,330006
,,,,
,,,,
南昌市永外正街17号,,南昌大学第一附属医院,0791-8692711 8692748,330006
,,,,
,,,,
南昌市西湖区广场南路133号,,南昌大学附属第四医院,0791-7022457,330003
,,,,
,,,,
东湖区福州路49号,,南昌大学附属口腔医院/江西省口腔医院,0791-6361040;0791-6360400,330006
,,,,
,,,,
萍乡市吕家冲30号,,南昌大学萍乡医院,0799-6831747,337055
,,,,
,,,,
江西省上饶市庆丰路31号,,南昌大学上饶医院,0739-8251523;0739-8251522,334000
,,,,
宾阳县宾州镇永武街,,宾阳县妇幼保健院,0771-8225471,530400
,,,,
,,,,
广西南宁市宾阳县黎塘镇永安街268号,,宾阳县红水河医院,0771-8272818,530409
,,,,
,,,,
宾阳县宾州镇仁爱街,,宾阳县人民医院,0771-8221116(院办),530400
,,,,
,,,,
宾阳县永武街,,宾阳县中医院,0771-8222522,530400
,,,,
,,,,
广西南宁市横县长安路15号,,横县第二人民医院,0771-7222755,530300
,,,,
,,,,
横县柳明路,,横县妇幼保健院,0771-7222260,530300
,,,,
,,,,
横县谢圩路,,横县骨科医院,0771-7222755,530300
,,,,
,,,,
横县横州镇供德街,,横县人民医院,0771-7222239,530300
,,,,
,,,,
广西南宁市横县槎江路182号,,横县中医医院,0771-7223571,530300
,,,,
,,,,
横县洪德街,,横县中医院,0771-7223571,530300
,,,,
,,,,
隆安县,,隆安县巴发医院,0771-6521105,532700
,,,,
,,,,
隆安县文化路12号,,隆安县妇幼保健院,0771-6522205,532700
,,,,
,,,,
隆安县城厢镇国泰街53号,,隆安县人民医院,0771-6522183,532700
,,,,
,,,,
广西南宁市隆安县城厢镇蝶城西路3号,,隆安县中医医院,0771-6522247,532700
,,,,
,,,,
隆安县蝶城,,隆安县中医院,0771-6522247;6524065,532700
,,,,
桦甸市大兴街122号,,桦甸市财贸医院,0432-6222017,132400
,,,,
,,,,
桦甸市振兴路109号,,桦甸市城区医院,0432-6223546,132400
,,,,
,,,,
桦甸市,,桦甸市第二人民医院,0432-6223546,132400
,,,,
,,,,
桦甸市大兴街177号,,桦甸市第三人民医院,0432-6222017,132400
,,,,
,,,,
桦甸市,,桦甸市妇幼保健站,0432-6224619,132400
,,,,
,,,,
桦甸市,,桦甸市肛肠医院,0432-6224167,132400
,,,,
,,,,
桦甸市,,桦甸市康复医院,0432-6226777,132400
,,,,
,,,,
桦甸市大兴街307号,,桦甸市人民医院,0432-6222226,132400
,,,,
,,,,
吉林省桦甸市振兴路198号,,桦甸市中医医院,0432-6272707,132400
,,,,
,,,,
桦甸市振兴路198号,,桦甸市中医院,0432-6222707,132400
,,,,
,,,,
长春市朝阳区同志街336号,,吉林百合口腔医院(民营),0437-8986101,130051
,,,,
,,,,
长春市绿园区景阳大路2218号,,吉林北方肝胆医院,0431-87688310;0431-87682299,130061
,,,,
,,,,
吉林省长春市南关区自强街218号,,吉林大学第二医院,0431-88975634,130041
,,,,
,,,,
长春市南关区东四马路17号,,吉林大学第二医院民康医院,0431-88755329;0431-88660806,130042
,,,,
,,,,
长春市开运街29号,,吉林大学第三医学院分院,0431-5955677,130012
,,,,
安徽省长丰县,,长丰县第二人民医院,0551-6891029,231141
,,,,
,,,,
长丰县长寿路89号,,长丰县妇幼保健所,0551-6671756,231100
,,,,
,,,,
长丰县,,长丰县妇幼保健站,0551-6671756,231100
,,,,
,,,,
长丰县,,长丰县农场医院,0551-6679609,231100
,,,,
,,,,
长丰县水湖镇长寿路91号,,长丰县人民医院,0551-6671097;6675673,231100
,,,,
,,,,
安徽省长丰县,,长丰县中医院,0551-6671355,231100
,,,,
,,,,
安徽省合肥市肥东县龙岗镇,,肥东县第二人民医院,0551-7675869,231633
,,,,
,,,,
安徽省合肥市肥东县店埠镇石塘路10号,,肥东县精神卫生防治院,0551-7712474,231600
,,,,
,,,,
肥东县店埠镇撮镇路20号,,肥东县人民医院,0551-7711245,231600
,,,,
,,,,
安徽省合肥市肥东县店埠镇人民路78号,,肥东县中医医院,0551-7711283,231600
,,,,
,,,,
肥东县人民路78号,,肥东县中医院,0551-7711283,231600
,,,,
,,,,
肥西县,,肥西县妇幼保健所,0551-8841253,231200
,,,,
,,,,
肥西县人民路16号,,肥西县红十字医院,0551-8841132,231200
,,,,
,,,,
肥西县上派镇中街路5号,,肥西县人民医院,0551-8830598;8830566,231200
,,,,
,,,,
肥西县巢湖南路5号,,肥西县中医院,0551-8843121,231200
,,,,
朝阳区安华西二区11楼,,朝阳区安华医院,010-64234017,100011
,,,,
,,,,
朝阳区安外沥清厂东,,朝阳区安慧医院,010-64911458,100101
,,,,
,,,,
朝阳区常营村西,,朝阳区常营回民医院,010-65755960,100029
,,,,
,,,,
朝阳区大柳树街9号,,朝阳区慈济医院,010-87709199,100023
,,,,
,,,,
朝阳区王四营大柳树153号,,朝阳区大柳树医院,010-67364412,100023
,,,,
,,,,
朝阳区八里庄延静西里11号楼,,朝阳区第三医院(原朝阳区八里庄医院),010-65005221,100025
,,,,
,,,,
朝阳区东坝13号,,朝阳区东坝医院,010-64372049,100018
,,,,
,,,,
朝阳区六里屯,,朝阳区东风医院,010-65865439,100025
,,,,
,,,,
朝阳区六里屯中街111号,,朝阳区妇幼保健院,010-87789952,100026
,,,,
,,,,
朝阳区高碑店陶家湾,,朝阳区高碑店医院,010-85757762,100029
,,,,
,,,,
朝阳区三间房,,朝阳区管庄医院,010-65762388、65762339,100024
,,,,
,,,,
朝阳区英家坟6号,,朝阳区红庙医院,010-65060088,100025
,,,,
,,,,
朝阳区英家坟6号,,朝阳区红十字会第二医院,010-64947301,100025
,,,,
,,,,
朝阳区金蝉北里,,朝阳区化工路医院,010-67361262,100026
,,,,
,,,,
朝阳区酒仙桥路49号,,朝阳区将台医院,010-64372046,100016
,,,,
呈贡县,,呈贡县妇幼保健所,0871-7477915,650500
,,,,
,,,,
呈贡县城内东门,,呈贡县人民医院,0871-7479136,650500
,,,,
,,,,
云南省昆明市呈贡县龙城镇双龙路,,呈贡县中医医院,0871-7476598,650500
,,,,
,,,,
呈贡县双龙路,,呈贡县中医院,0871-7476598,650500
,,,,
,,,,
昆明市东川区莱元一段居委会,,东川矿务局职工医院,0871-2511303,654102
,,,,
,,,,
东川区新村碧云路,,东川区第二人民医院,0871-2131809,654100
,,,,
,,,,
昆明市东川区新村区团结路45号,,东川市第一人民医院,0871-2122927、2121361,654100
,,,,
,,,,
富民县,,富民县保健所,0871-8811267,650400
,,,,
,,,,
富民县永定街309号,,富民县人民医院,0871-8816205,650400
,,,,
,,,,
云南省昆明市官渡区关上南路159号,,官渡区妇幼保健院,0871-7169242,650200
,,,,
,,,,
昆明市晋宁县晋东路26号,,晋宁县第二人民医院,0871-7811044;0871-7816754;0871-7811162,650605
,,,,
,,,,
晋宁县正和东路,,晋宁县妇幼保健院,0871-7892284;7809442,650600
,,,,
,,,,
晋宁县昆明镇郑和路13号,,晋宁县人民医院,0871-7809924;0871-7892717;0871-7892244,650600
,,,,
,,,,
云南省昆明市永胜路兰花宾馆左侧,,昆明博大医院(民营),0871-3518813,650011
,,,,
,,,,
昆明国家经济技术开发区船舶工业区,,昆明船舶集团公司职工医院,0871-7233068,650236
,,,,
淳安县汾口镇湖塘路16号,,淳安县第二人民医院,0571-64851263,311719
,,,,
,,,,
淳安县新安西路1号,,淳安县第一人民医院,"0571-64812271,0571-64824966",311700
,,,,
,,,,
淳安县千岛湖镇新安东路345号,,淳安县妇幼保健院,0571-64818807,311700
,,,,
,,,,
淳安县千岛湖镇新安西路13号,,淳安县千岛湖城区医院,0571-64822724,311700
,,,,
,,,,
淳安县,,淳安县新安城区医院,0571-64822724,311700
,,,,
,,,,
淳安县,,淳安县新安江开发公司职工医院,0571-64822724,311700
,,,,
,,,,
淳安县骑龙巷13号,,淳安县中医院,0571-64812540,311700
,,,,
,,,,
富阳市新登镇城北路71号,,富阳市第二人民医院,0571-63251244,311404
,,,,
,,,,
富阳市高桥镇高桥东路8号,,富阳市第三人民医院富阳市精神病防治院,0571-63431277;63435838,311402
,,,,
,,,,
富阳市横凉亭路25号,,富阳市妇幼保健院,0571-63369668,311400
,,,,
,,,,
富阳市春秋北路43号,,富阳市结核病防治所,,311400
,,,,
,,,,
浙江省富阳市高桥镇高桥东路8号,,富阳市精神病防治院,0571-63435838,311402
,,,,
,,,,
富阳市富阳镇桂花路4号,,富阳市人民医院,0571-63322551,311400
,,,,
,,,,
富阳市新登镇城南路26号,,富阳市新登中医骨伤科医院,0571-63251341;0571-63251744,311404
,,,,
,,,,
富阳市富阳镇桂花西路63号,,富阳市中医骨伤科医院,0571-63326240;63324728,311400
,,,,
长沙市芙蓉中路三段308号,,长沙爱尔眼科医院(民营),0731-5229201;5229202,410015
,,,,
,,,,
长沙市车站北路251号,,长沙长江医院(民营),0731-2215888;2217000,410001
,,,,
,,,,
长沙市梓园路357号,,长沙方泰医院(民营),0731-2831258,410005
,,,,
,,,,
长沙市八一路479号,,长沙惠民医院(民营),0731-4570790;2225175,410005
,,,,
,,,,
长沙市麓山南路1号,,长沙矿冶研究院医院,0731-8827696,410007
,,,,
,,,,
湖南省长沙市北正街16号,,长沙老年病医院,0731-4444100,410005
,,,,
,,,,
长沙县南托水电八局基地内,,长沙融城医院,0735-6901854,410008
,,,,
,,,,
长沙市梁梨,,长沙韶光医院,0731-4616149,410129
,,,,
,,,,
长沙市,,长沙韶山路医院,0731-5581337,410006
,,,,
,,,,
长沙市五一中路11号,,长沙市按摩医院,0731-4166005,410011
,,,,
,,,,
湖南省长沙市芙蓉区水絮塘34号,,长沙市传染病医院,0731-2223156,410011
,,,,
,,,,
长沙市水絮塘67号,,长沙市传染病院长沙市第六医院,0731-2223156,410011
,,,,
,,,,
长沙市开福区长春巷1号,,长沙市第二医院(原长沙市中心医院分院),0731-4313697,410008
,,,,
,,,,
长沙市五一东路33号,,长沙市第七医院,0731-4237347,410001
,,,,
,,,,
长沙市劳动西路176号,,长沙市第三医院,0731-5151092,410015
,,,,
湖北省武汉市汉南区东城垸农场,,东城垸农场职工医院,027-84851425,430091
